# format: v1
# Proxies that opened a TLS tunnel to raw.githubusercontent.com:443 and returned
# sixteen bytes of subs/all.txt, within 8 seconds. Nothing else qualifies.
#
# Regenerated 2026-09-25T22:47:44Z · 4350 entries · 2588 proved this run
# Density: 168/600 of a random sample worked on re-check (28%, measured 2026-09-25) — the file's only real quality score.
#
# Format: scheme://host:port | country | ms | days-alive
# Everything after the first space or | is ignored by the client, so this is safe.
#

http://38.211.76.203:999 | CO | 2785ms | 0d
http://38.211.79.17:999 | CO | 7823ms | 0d
http://45.65.137.218:999 | CO | 4266ms | 1d
http://45.65.138.48:999 | CO | 4422ms | 4d
http://45.172.218.67:3028 | CO | 1562ms | 2d
http://45.172.223.179:999 | CO | 3068ms | 1d
http://45.177.53.157:999 | CO | 7323ms | 1d
http://45.179.200.65:999 | CO | 6259ms | 0d
http://64.204.90.17:999 | CO | 4793ms | 0d
http://64.204.90.177:999 | CO | 7295ms | 0d
http://138.121.15.230:999 | CO | 3950ms | 1d
http://149.130.173.58:9443 | CO | 601ms | 4d
http://152.200.218.28:80 | CO | 4225ms | 0d
http://161.18.226.135:8080 | CO | 7500ms | 0d
http://170.254.228.90:999 | CO | 4086ms | 0d
http://177.93.33.55:999 | CO | 3179ms | 0d
http://177.93.41.212:999 | CO | 3025ms | 1d
http://179.1.182.19:999 | CO | 7166ms | 0d
http://179.1.182.20:999 | CO | 3345ms | 0d
http://179.1.196.134:999 | CO | 1681ms | 1d
http://179.1.196.218:999 | CO | 6875ms | 1d
http://181.78.1.226:999 | CO | 2797ms | 1d
http://181.78.10.110:999 | CO | 5866ms | 0d
http://181.78.234.82:999 | CO | 4939ms | 2d
http://181.143.181.35:8080 | CO | 7120ms | 1d
http://181.204.39.202:26312 | CO | 4672ms | 0d
http://181.204.81.178:999 | CO | 7584ms | 1d
http://181.204.81.179:999 | CO | 7410ms | 1d
http://181.205.205.170:999 | CO | 3268ms | 0d
http://181.225.73.104:999 | CO | 6481ms | 0d
http://186.33.51.9:999 | CO | 5610ms | 0d
http://186.96.111.214:999 | CO | 4295ms | 1d
http://186.97.192.59:999 | CO | 7708ms | 1d
http://186.97.200.210:999 | CO | 3416ms | 1d
http://190.0.246.210:4040 | CO | 1136ms | 9d
http://190.0.246.211:4040 | CO | 1208ms | 13d
http://190.0.246.213:4040 | CO | 762ms | 22d
http://190.7.138.78:8080 | CO | 4039ms | 2d
http://190.26.209.126:999 | CO | 6010ms | 0d
http://190.60.58.236:999 | CO | 6342ms | 0d
http://190.61.63.106:8080 | CO | 4988ms | 1d
http://190.99.192.158:999 | CO | 2645ms | 0d
http://190.109.1.58:8080 | CO | 5393ms | 0d
http://190.121.146.79:8080 | CO | 6524ms | 0d
http://200.10.30.5:8083 | CO | 6431ms | 3d
http://200.10.31.45:8081 | CO | 3108ms | 1d
http://200.31.12.188:999 | CO | 7543ms | 0d
http://200.35.34.134:999 | CO | 7808ms | 0d
http://200.110.173.17:999 | CO | 3765ms | 0d
http://200.110.173.101:8080 | CO | 5030ms | 0d
http://190.113.249.14:88 | CR | 6080ms | 0d
http://31.31.74.185:9898 | CZ | 3474ms | 1d
http://78.108.110.171:8080 | CZ | 1562ms | 1d
http://85.207.11.133:3128 | CZ | 7297ms | 0d
http://103.119.19.218:3128 | CZ | 858ms | 1d
http://185.115.75.65:8080 | CZ | 2276ms | 0d
http://3.121.130.230:5555 | DE | 873ms | 0d
http://18.157.123.132:3128 | DE | 831ms | 8d
http://18.157.159.247:13401 | DE | 2048ms | 0d
http://18.157.159.247:9002 | DE | 2120ms | 1d
http://46.165.213.243:3128 | DE | 4834ms | 0d
http://54.37.74.255:3128 | DE | 4901ms | 2d
http://57.129.24.167:3128 | DE | 4494ms | 0d
http://63.179.134.206:56179 | DE | 2893ms | 2d
http://63.180.203.233:1976 | DE | 1294ms | 1d
http://63.180.203.233:37086 | DE | 2315ms | 1d
http://64.188.71.169:3128 | DE | 5601ms | 1d
http://67.207.72.60:3128 | DE | 1016ms | 1d
http://67.207.78.208:3128 | DE | 5198ms | 2d
http://103.237.102.191:11111 | DE | 1335ms | 9d
http://134.199.191.115:3128 | DE | 5476ms | 5d
http://144.76.61.252:3128 | DE | 6370ms | 2d
http://152.53.183.107:8081 | DE | 4703ms | 0d
http://152.53.183.107:8082 | DE | 5390ms | 0d
http://157.230.28.51:1981 | DE | 7244ms | 1d
http://159.195.194.242:8080 | DE | 3531ms | 1d
http://162.19.242.35:3128 | DE | 7538ms | 1d
http://164.92.175.92:3128 | DE | 829ms | 1d
http://164.92.253.229:3128 | DE | 849ms | 2d
http://209.38.115.253:3128 | DE | 7999ms | 1d
http://38.10.82.128:999 | DO | 5493ms | 0d
http://38.50.165.124:999 | DO | 7044ms | 0d
http://38.50.165.125:999 | DO | 6942ms | 0d
http://38.50.165.126:999 | DO | 7582ms | 2d
http://38.75.80.32:999 | DO | 1696ms | 0d
http://38.75.82.212:999 | DO | 6549ms | 1d
http://38.75.82.213:999 | DO | 4944ms | 2d
http://38.75.82.215:999 | DO | 3445ms | 0d
http://38.75.82.217:999 | DO | 1692ms | 0d
http://38.75.82.218:999 | DO | 3470ms | 0d
http://38.75.82.219:999 | DO | 5208ms | 0d
http://38.75.82.220:999 | DO | 6798ms | 1d
http://38.75.82.221:999 | DO | 5108ms | 0d
http://38.75.82.222:999 | DO | 6001ms | 0d
http://38.156.235.171:999 | DO | 3397ms | 0d
http://38.159.37.173:999 | DO | 3954ms | 0d
http://38.159.223.159:999 | DO | 1904ms | 0d
http://38.253.85.3:999 | DO | 6230ms | 0d
http://149.2.82.157:999 | DO | 6201ms | 1d
http://168.243.77.190:999 | DO | 3333ms | 0d
